batch,exit,horizon,instance,order,search,solved,total,trivial,valid,gc_alternatives,gc_bfs_retries,gc_chain_labels,gc_chain_time,gc_chains,gc_deep_fallbacks,gc_distinct,gc_exact_sccs,gc_explored_states,gc_factors_covered,gc_factors_with_moves,gc_goal_factors,gc_heuristic_sccs,gc_largest_scc,gc_leftover,gc_mean_product_factors,gc_pair_chains,gc_pairs_weight,gc_proven,gc_sccs,gc_selection_rounds,gc_skipped_budget,gc_subgoal_chains,gc_switches,gc_too_big_alone,gc_total_time,gc_unsolved_abstractions,gc_violated
screen1,0,1,airport/p14-airport3-p3,gc,2.13613,True,3.29564,False,True,3,14,60,2.91117,3,,60,0,432354,22,169,3,0,1,231,11.6667,0,57,0,60,0,0,0,0,0,2.98496,0,0
screen1,0,1,airport/p14-airport3-p3,gc_d2,3.92984,True,4.93687,False,True,3,24,60,3.83898,3,,60,0,787991,24,169,3,0,1,231,16.6667,0,57,0,60,0,0,0,0,0,3.86515,0,0
screen1,0,2,airport/p14-airport3-p3,gc_d2_p2_layer,7.47151,True,8.64171,False,True,6,46,146,7.07848,6,,61,0,1554429,24,169,3,0,1,230,15.3333,3,140,0,61,0,0,0,0,0,7.13588,0,0
screen1,0,1,airport/p14-airport3-p3,gc_d3,3.71862,True,4.8267,False,True,3,23,60,3.60924,3,,60,0,742381,24,169,3,0,1,231,16.6667,0,57,0,60,0,0,0,0,0,3.63731,0,0
screen1,0,2,airport/p14-airport3-p3,gc_d3_p2_layer,6.80639,True,7.90936,False,True,6,45,146,6.50859,6,,61,0,1508819,24,169,3,0,1,230,15.3333,3,140,0,61,0,0,0,0,0,6.56172,0,0
screen1,0,1,airport/p14-airport3-p3,gc_layer,2.10674,True,3.27732,False,True,3,14,60,1.8959,3,,60,0,432354,22,169,3,0,1,231,11.6667,0,57,0,60,0,0,0,0,0,1.95473,0,0
screen1,0,2,airport/p14-airport3-p3,gc_pairs2,2.95438,True,3.95931,False,True,4,21,102,2.80376,4,,60,0,724525,22,169,3,0,1,231,11.5,1,98,0,60,0,0,0,0,0,2.83615,0,0
screen1,0,1,airport/p14-airport3-p3,gc_sub2,1.97712,True,3.06575,False,True,4,14,62,1.88278,4,,60,0,432370,30,169,3,0,1,231,11.5,0,58,0,60,0,0,1,0,0,1.917,0,0
screen1,0,1,airport/p14-airport3-p3,gc_support,2.13723,True,3.32884,False,True,3,14,60,1.98639,3,,60,0,432354,22,169,3,0,1,231,11.6667,0,57,0,60,0,0,0,0,0,2.03122,0,0
screen1,0,14,airport/p14-airport3-p3,tsort_goal,8.7869,True,9.9126,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,2,airport/p16-airport3-p4,gc,5.64269,True,10.1763,False,True,4,24,79,7.72363,4,,79,0,815763,26,212,4,0,1,339,13,0,75,0,79,0,0,0,0,0,7.83153,0,0
screen1,0,2,airport/p16-airport3-p4,gc_d2,6.3083,True,10.3726,False,True,4,30,79,5.99806,4,,79,0,1041554,28,212,4,0,1,339,16.5,0,75,0,79,0,0,0,0,0,6.08153,0,0
screen1,0,3,airport/p16-airport3-p4,gc_d2_p2_layer,14.6651,True,19.5327,False,True,8,62,205,12.3165,8,,80,0,2067745,28,212,4,0,1,338,14.875,4,197,0,80,0,1,0,0,0,12.4865,0,0
screen1,0,2,airport/p16-airport3-p4,gc_d3,6.42335,True,10.9585,False,True,4,30,79,6.1803,4,,79,0,1071442,28,212,4,0,1,339,16.5,0,75,0,79,0,0,0,0,0,6.25853,0,0
screen1,0,2,airport/p16-airport3-p4,gc_d3_p2_layer,14.088,True,19.1699,False,True,8,62,185,13.5894,8,,80,0,2205387,28,212,4,0,1,338,15.375,4,177,0,80,0,1,0,0,0,13.7487,0,0
screen1,0,2,airport/p16-airport3-p4,gc_layer,5.86791,True,10.3836,False,True,4,24,79,5.1176,4,,79,0,815763,26,212,4,0,1,339,13,0,75,0,79,0,0,0,0,0,5.305,0,0
screen1,0,3,airport/p16-airport3-p4,gc_pairs2,9.33742,True,13.3075,False,True,7,48,201,8.61937,7,,79,1,1603057,26,212,4,0,35,339,12.1429,3,194,1,45,0,0,0,0,0,8.71262,0,1
screen1,0,2,airport/p16-airport3-p4,gc_sub2,5.56195,True,10.3768,False,True,7,24,83,5.15334,7,,79,0,815813,46,212,4,0,1,339,15.2857,0,76,0,79,0,0,3,0,0,5.24644,0,0
screen1,0,2,airport/p16-airport3-p4,gc_support,5.66716,True,11.156,False,True,4,24,79,5.17134,4,,79,0,815763,26,212,4,0,1,339,13,0,75,0,79,0,0,0,0,0,5.26382,0,0
screen1,0,15,airport/p16-airport3-p4,tsort_goal,21.0061,True,26.5134,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,3,airport/p20-airport3-p7,gc,13.1001,True,31.6452,False,True,7,32,115,16.5948,7,,115,0,901168,34,341,7,0,1,542,10.4286,0,108,0,115,0,0,0,0,0,17.1227,0,0
screen1,0,3,airport/p20-airport3-p7,gc_d2,20.4733,True,37.0392,False,True,7,60,115,18.6556,7,,115,0,1776354,38,341,7,0,1,542,16.7143,0,108,0,115,0,0,0,0,0,18.9282,0,0
screen1,0,3,airport/p20-airport3-p7,gc_d2_p2_layer,24.6763,True,40.7503,False,True,8,68,137,20.915,8,,116,0,2030190,38,341,7,0,1,541,16.625,1,129,0,116,0,10,0,0,0,21.5024,0,0
screen1,0,3,airport/p20-airport3-p7,gc_d3,19.5631,True,36.0524,False,True,7,63,115,17.8633,7,,115,0,1756524,38,341,7,0,1,542,16.7143,0,108,0,115,0,0,0,0,0,18.1341,0,0
screen1,0,3,airport/p20-airport3-p7,gc_d3_p2_layer,24.1447,True,41.414,False,True,8,71,140,20.3757,8,,115,0,2011499,38,341,7,0,1,542,16.625,1,132,0,115,0,10,0,0,0,20.8902,0,0
screen1,0,3,airport/p20-airport3-p7,gc_layer,14.9894,True,31.9834,False,True,7,32,115,9.39966,7,,115,0,901168,34,341,7,0,1,542,10.4286,0,108,0,115,0,0,0,0,0,9.97768,0,0
screen1,0,4,airport/p20-airport3-p7,gc_pairs2,25.6498,True,43.158,False,True,12,72,317,21.0593,12,,115,1,2348634,34,341,7,0,51,542,10.6667,5,305,1,65,0,0,0,0,0,21.3749,0,1
screen1,0,5,airport/p20-airport3-p7,gc_sub2,30.0921,True,46.9115,False,True,26,102,172,17.2688,26,,122,0,1665920,171,341,7,0,1,535,23.2692,0,146,0,122,0,0,19,0,0,17.5589,0,0
screen1,0,3,airport/p20-airport3-p7,gc_support,13.1885,True,30.1924,False,True,7,32,115,9.49233,7,,115,0,901168,34,341,7,0,1,542,10.4286,0,108,0,115,0,0,0,0,0,9.78164,0,0
screen1,0,18,airport/p20-airport3-p7,tsort_goal,109.01,True,126.616,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,8,blocks/probBLOCKS-5-2,gc,1.1411,True,1.14434,False,True,4,0,15,0.000525324,4,,14,0,317,10,11,4,0,1,36,7,0,11,0,14,0,0,0,0,0,0.000608676,0,0
screen1,0,1,blocks/probBLOCKS-5-2,gc_d2,0.0105389,True,0.0150832,False,True,4,0,64,0.00478455,4,,16,0,3420,11,11,4,0,1,34,11,0,60,0,16,0,0,0,0,0,0.00490327,0,0
screen1,0,1,blocks/probBLOCKS-5-2,gc_d2_p2_layer,0.0142862,True,0.0174348,False,True,9,0,144,0.00840941,9,,16,0,7695,11,11,4,0,1,34,11,5,135,0,16,0,0,0,0,0,0.00861919,0,0
screen1,0,1,blocks/probBLOCKS-5-2,gc_d3,0.00964679,True,0.0138044,False,True,4,0,64,0.00420917,4,,16,0,3420,11,11,4,0,1,34,11,0,60,0,16,0,0,0,0,0,0.00434873,0,0
screen1,0,1,blocks/probBLOCKS-5-2,gc_d3_p2_layer,0.013871,True,0.0180699,False,True,9,0,144,0.00848374,9,,16,0,7695,11,11,4,0,1,34,11,5,135,0,16,0,0,0,0,0,0.0086804,0,0
screen1,0,8,blocks/probBLOCKS-5-2,gc_layer,1.20156,True,1.20526,False,True,4,0,15,0.000566231,4,,14,0,317,10,11,4,0,1,36,7,0,11,0,14,0,0,0,0,0,0.000708688,0,0
screen1,0,8,blocks/probBLOCKS-5-2,gc_pairs2,0.692207,True,0.695981,False,True,9,0,52,0.00438671,9,,17,1,3823,10,11,4,0,15,33,7.55556,5,43,1,3,0,0,0,0,0,0.00566815,0,4
screen1,0,8,blocks/probBLOCKS-5-2,gc_sub2,0.910896,True,0.914442,False,True,10,0,33,0.00106596,10,,17,0,679,11,11,4,0,1,33,7,0,23,0,17,0,0,6,0,0,0.00116533,0,0
screen1,0,7,blocks/probBLOCKS-5-2,gc_support,0.723707,True,0.725227,False,True,4,0,15,0.000700102,4,,14,0,317,10,11,4,0,1,36,7,0,11,0,14,0,0,0,0,0,0.00080466,0,0
screen1,0,8,blocks/probBLOCKS-5-2,tsort_goal,0.934582,True,0.938099,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc,79.0519,True,88.7667,False,True,13,0,39,2.2666,13,,17,0,34399,47,73,13,0,1,3094,24.5385,0,26,0,17,0,0,0,0,0,2.33274,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_d2,113.041,True,121.421,False,True,13,78,39,42.0442,13,,17,0,2494087,59,73,13,0,1,3094,31.2308,0,26,0,17,0,0,0,0,0,42.076,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_d2_p2_layer,127.429,True,135.631,False,True,11,66,33,31.4558,11,,15,0,2044047,57,73,13,0,1,3096,30,0,22,0,15,0,25,0,0,0,31.5198,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_d3,112.522,True,119.956,False,True,13,78,39,40.9155,13,,17,0,2494087,59,73,13,0,1,3094,31.2308,0,26,0,17,0,0,0,0,0,40.9448,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_d3_p2_layer,129.844,True,138.178,False,True,11,66,33,32.7275,11,,15,0,2044047,57,73,13,0,1,3096,30,0,22,0,15,0,25,0,0,0,32.7872,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_layer,80.8138,True,89.6248,False,True,13,0,39,1.4824,13,,17,0,34399,47,73,13,0,1,3094,24.5385,0,26,0,17,0,0,0,0,0,1.54284,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_pairs2,120.416,True,128.067,False,True,33,42,138,53.1878,33,,32,0,1023711,47,73,13,0,1,3079,24.5758,20,105,0,32,0,0,0,0,0,53.2192,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_sub2,79.7214,True,88.3852,False,True,13,0,39,1.6511,13,,17,0,34399,47,73,13,0,1,3094,24.5385,0,26,0,17,0,0,0,0,0,1.68261,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,gc_support,54.2775,True,63.2542,False,True,13,0,39,1.66382,13,,17,0,34399,47,73,13,0,1,3094,24.5385,0,26,0,17,0,0,0,0,0,1.69612,0,0
screen1,0,1,childsnack-sat14-strips/child-snack_pfile08-2,tsort_goal,12.7477,True,22.6722,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,3,depot/pfile13,gc,13.1578,True,13.539,False,True,6,20,22,7.28798,6,,22,0,687240,34,34,6,0,1,830,18,0,16,0,22,0,0,0,0,0,7.29561,0,0
screen1,0,3,depot/pfile13,gc_d2,13.0256,True,13.4154,False,True,6,30,22,5.58954,6,,22,0,885999,34,34,6,0,1,830,18,0,16,0,22,0,0,0,0,0,5.593,0,0
screen1,0,2,depot/pfile13,gc_d2_p2_layer,20.9887,True,21.3494,False,True,13,65,77,20.5245,13,,25,1,2028454,34,34,6,0,4,827,14.5385,7,64,1,22,0,2,0,0,0,20.5327,0,1
screen1,0,3,depot/pfile13,gc_d3,12.9694,True,13.3382,False,True,6,30,22,5.68228,6,,22,0,885999,34,34,6,0,1,830,18,0,16,0,22,0,0,0,0,0,5.6869,0,0
screen1,0,2,depot/pfile13,gc_d3_p2_layer,20.7723,True,21.1286,False,True,13,65,77,20.4723,13,,25,1,2028454,34,34,6,0,4,827,14.5385,7,64,1,22,0,2,0,0,0,20.4792,0,1
screen1,0,3,depot/pfile13,gc_layer,15.1846,True,15.5771,False,True,6,20,22,4.787,6,,22,0,687240,34,34,6,0,1,830,18,0,16,0,22,0,0,0,0,0,4.79508,0,0
screen1,0,2,depot/pfile13,gc_pairs2,29.0923,True,29.4616,False,True,15,65,94,28.7508,15,,25,1,2652469,34,34,6,0,12,827,14.0667,9,79,1,14,0,0,0,0,0,28.7551,0,2
screen1,0,2,depot/pfile13,gc_sub2,9.42894,True,9.83152,False,True,13,40,45,8.39445,13,,34,0,1345876,34,34,6,0,1,818,18.6923,0,32,0,34,0,0,7,0,0,8.3995,0,0
screen1,0,3,depot/pfile13,gc_support,23.5251,True,23.9361,False,True,6,20,22,4.89952,6,,22,0,687240,34,34,6,0,1,830,18,0,16,0,22,0,0,0,0,0,4.90579,0,0
screen1,0,3,depot/pfile13,tsort_goal,13.0135,True,13.3884,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,23,,depot/pfile4,gc,,False,,False,,6,9,20,2.11277,6,,18,0,415454,28,30,6,0,1,462,21.3333,0,14,0,18,0,0,0,0,0,2.1147,0,0
screen1,0,8,depot/pfile4,gc_d2,287.663,True,287.836,False,True,6,30,20,5.38337,6,,18,0,1077369,30,30,6,0,1,462,21.5,0,14,0,18,0,0,0,0,0,5.3853,0,0
screen1,23,,depot/pfile4,gc_d2_p2_layer,,False,,False,,12,60,54,14.7379,12,,24,1,2221817,30,30,6,0,11,456,16.9167,6,42,1,14,0,3,0,0,0,14.7425,0,2
screen1,0,8,depot/pfile4,gc_d3,288.319,True,288.536,False,True,6,30,20,5.74421,6,,18,0,1077369,30,30,6,0,1,462,21.5,0,14,0,18,0,0,0,0,0,5.74605,0,0
screen1,23,,depot/pfile4,gc_d3_p2_layer,,False,,False,,12,60,54,15.3707,12,,24,1,2221817,30,30,6,0,11,456,16.9167,6,42,1,14,0,3,0,0,0,15.3752,0,2
screen1,0,7,depot/pfile4,gc_layer,95.4324,True,95.5857,False,True,6,9,20,1.11086,6,,18,0,415454,28,30,6,0,1,462,21.3333,0,14,0,18,0,0,0,0,0,1.11424,0,0
screen1,23,,depot/pfile4,gc_pairs2,,False,,False,,15,51,69,12.3953,15,,24,1,2393199,28,30,6,0,12,456,16.0667,9,54,1,13,0,0,0,0,0,12.3983,0,3
screen1,0,4,depot/pfile4,gc_sub2,20.1852,True,20.3576,False,True,17,21,59,3.22112,17,,38,0,1051293,30,30,6,0,1,442,21.7059,0,42,0,38,0,0,11,0,0,3.22385,0,0
screen1,0,7,depot/pfile4,gc_support,111.332,True,111.528,False,True,6,9,20,1.26885,6,,18,0,415454,28,30,6,0,1,462,21.3333,0,14,0,18,0,0,0,0,0,1.27116,0,0
screen1,0,7,depot/pfile4,tsort_goal,180.556,True,180.722,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,3,depot/pfile7,gc,3.26578,True,3.38535,False,True,5,10,17,2.28836,5,,17,0,441559,26,27,5,0,1,343,19.2,0,12,0,17,0,0,0,0,0,2.2894,0,0
screen1,0,3,depot/pfile7,gc_d2,6.01945,True,6.14087,False,True,5,25,17,4.37597,5,,17,0,1020899,27,27,5,0,1,343,19.8,0,12,0,17,0,0,0,0,0,4.37703,0,0
screen1,0,4,depot/pfile7,gc_d2_p2_layer,17.5033,True,17.626,False,True,11,54,54,11.3668,11,,19,1,2169579,27,27,5,0,2,341,15.8182,6,43,1,18,0,1,0,0,0,11.3689,0,1
screen1,0,3,depot/pfile7,gc_d3,5.72689,True,5.83921,False,True,5,25,17,4.09482,5,,17,0,1020899,27,27,5,0,1,343,19.8,0,12,0,17,0,0,0,0,0,4.09587,0,0
screen1,0,4,depot/pfile7,gc_d3_p2_layer,16.8967,True,17.0166,False,True,11,54,54,10.858,11,,19,1,2169579,27,27,5,0,2,341,15.8182,6,43,1,18,0,1,0,0,0,10.8602,0,1
screen1,0,4,depot/pfile7,gc_layer,7.33184,True,7.45898,False,True,5,10,17,1.49334,5,,17,0,441559,26,27,5,0,1,343,19.2,0,12,0,17,0,0,0,0,0,1.49552,0,0
screen1,0,3,depot/pfile7,gc_pairs2,13.1701,True,13.2891,False,True,12,38,60,8.96789,12,,22,1,1984734,26,27,5,0,2,338,15.25,7,48,1,21,0,0,0,0,0,8.96912,0,1
screen1,0,3,depot/pfile7,gc_sub2,3.96003,True,4.09502,False,True,10,15,31,2.24482,10,,24,0,684502,27,27,5,0,1,336,19.9,0,21,0,24,0,0,5,0,0,2.24616,0,0
screen1,0,4,depot/pfile7,gc_support,10.1003,True,10.238,False,True,5,10,17,1.58083,5,,17,0,441559,26,27,5,0,1,343,19.2,0,12,0,17,0,0,0,0,0,1.58264,0,0
screen1,0,4,depot/pfile7,tsort_goal,5.27769,True,5.39936,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,5,driverlog/pfile13,gc,1.49707,True,1.53737,False,True,7,0,40,0.0645925,7,,17,2,37317,13,13,8,0,5,181,4.28571,0,25,2,11,0,0,0,0,0,0.0651302,0,6
screen1,0,5,driverlog/pfile13,gc_d2,1.81074,True,1.8478,False,True,7,6,49,0.269028,7,,19,2,262862,13,13,8,0,5,179,6.42857,0,34,2,13,0,0,0,0,0,0.269639,0,6
screen1,0,4,driverlog/pfile13,gc_d2_p2_layer,2.41178,True,2.45072,False,True,17,21,97,1.36753,17,,23,1,1003654,13,13,8,0,21,175,5.47059,10,70,1,3,0,0,0,0,0,1.3756,0,9
screen1,0,5,driverlog/pfile13,gc_d3,1.65878,True,1.69566,False,True,7,6,49,0.330894,7,,19,2,356523,13,13,8,0,5,179,7.71429,0,34,2,13,0,0,0,0,0,0.331451,0,6
screen1,0,5,driverlog/pfile13,gc_d3_p2_layer,3.57307,True,3.61137,False,True,19,27,113,1.49487,19,,23,1,1168609,13,13,8,0,21,175,6.31579,12,84,1,3,0,0,0,0,0,1.50542,0,13
screen1,0,5,driverlog/pfile13,gc_layer,2.11667,True,2.1557,False,True,7,0,40,0.0376348,7,,17,2,37317,13,13,8,0,5,181,4.28571,0,25,2,11,0,0,0,0,0,0.0383975,0,6
screen1,0,5,driverlog/pfile13,gc_pairs2,1.83932,True,1.87631,False,True,15,12,83,0.533116,15,,23,1,376923,13,13,8,0,17,175,4.2,8,59,1,7,0,0,0,0,0,0.535756,0,8
screen1,0,5,driverlog/pfile13,gc_sub2,2.81686,True,2.85466,False,True,10,0,43,0.0380517,10,,20,2,37329,13,13,8,0,5,178,4.2,0,25,2,14,0,0,3,0,0,0.0386313,0,6
screen1,0,5,driverlog/pfile13,gc_support,6.66145,True,6.70303,False,True,7,0,40,0.041724,7,,17,2,37317,13,13,8,0,5,181,4.28571,0,25,2,11,0,0,0,0,0,0.042482,0,6
screen1,0,6,driverlog/pfile13,tsort_goal,5.73453,True,5.77567,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,4,driverlog/pfile14,gc,1.09734,True,1.15326,False,True,8,0,52,0.142346,8,,17,2,46269,15,15,9,0,9,190,4.5,0,31,2,6,0,0,0,0,0,0.146481,0,8
screen1,0,4,driverlog/pfile14,gc_d2,2.08812,True,2.13957,False,True,8,18,52,0.903499,8,,22,5,706580,15,15,9,0,5,185,6.625,0,31,5,12,0,0,0,0,0,0.904223,0,8
screen1,0,4,driverlog/pfile14,gc_d2_p2_layer,5.3686,True,5.41726,False,True,20,45,118,3.35718,20,,31,4,2123579,15,15,9,0,14,176,5.55,12,72,4,11,0,0,0,0,0,3.35913,0,8
screen1,0,4,driverlog/pfile14,gc_d3,2.2124,True,2.26328,False,True,8,18,52,1.16874,8,,22,5,1003791,15,15,9,0,5,185,6.625,0,31,5,12,0,0,0,0,0,1.16937,0,8
screen1,0,4,driverlog/pfile14,gc_d3_p2_layer,4.25015,True,4.29802,False,True,18,44,110,2.82056,18,,27,4,2132583,15,15,9,0,12,180,5.83333,10,66,4,9,0,4,0,0,0,2.82178,0,10
screen1,0,3,driverlog/pfile14,gc_layer,0.710277,True,0.765454,False,True,8,0,52,0.0618367,8,,17,2,46269,15,15,9,0,9,190,4.5,0,31,2,6,0,0,0,0,0,0.0628193,0,8
screen1,0,4,driverlog/pfile14,gc_pairs2,1.84842,True,1.89462,False,True,18,18,112,0.952499,18,,27,1,569210,15,15,9,0,21,180,4.27778,10,70,1,7,0,0,0,0,0,0.955501,0,9
screen1,0,4,driverlog/pfile14,gc_sub2,1.12875,True,1.18693,False,True,11,0,55,0.0650438,11,,18,2,46281,15,15,9,0,9,189,4.36364,0,31,2,7,0,0,3,0,0,0.065818,0,8
screen1,0,4,driverlog/pfile14,gc_support,5.71914,True,5.77077,False,True,8,0,52,0.0637485,8,,17,2,46269,15,15,9,0,9,190,4.5,0,31,2,6,0,0,0,0,0,0.0645808,0,8
screen1,0,4,driverlog/pfile14,tsort_goal,1.07295,True,1.1264,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,4,driverlog/pfile15,gc,10.3213,True,10.4981,False,True,9,0,43,0.516839,9,,20,2,203100,20,20,10,0,10,412,5.55556,0,31,2,10,0,0,0,0,0,0.518401,0,7
screen1,0,4,driverlog/pfile15,gc_d2,11.923,True,12.1016,False,True,9,22,44,1.63986,9,,24,3,1021099,20,20,10,0,7,408,7.22222,0,32,3,13,0,0,0,0,0,1.64154,0,7
screen1,0,4,driverlog/pfile15,gc_d2_p2_layer,17.8476,True,18.0133,False,True,17,45,74,2.89755,17,,32,3,2126686,20,20,10,0,7,400,6.41176,8,53,3,21,0,8,0,0,0,2.89953,0,8
screen1,0,4,driverlog/pfile15,gc_d3,11.2311,True,11.3998,False,True,9,26,44,1.52629,9,,24,3,1162872,20,20,10,0,7,408,7.66667,0,32,3,13,0,0,0,0,0,1.52756,0,7
screen1,0,4,driverlog/pfile15,gc_d3_p2_layer,22.3696,True,22.5391,False,True,16,49,70,3.20538,16,,30,3,2155697,20,20,10,0,7,402,6.875,7,50,3,19,0,10,0,0,0,3.20747,0,8
screen1,0,4,driverlog/pfile15,gc_layer,12.4739,True,12.6445,False,True,9,0,43,0.436293,9,,20,2,203100,20,20,10,0,10,412,5.55556,0,31,2,10,0,0,0,0,0,0.438472,0,7
screen1,0,4,driverlog/pfile15,gc_pairs2,13.1033,True,13.2753,False,True,22,39,95,1.93723,22,,36,2,977782,20,20,10,0,10,396,5.22727,13,70,2,26,0,0,0,0,0,1.93865,0,7
screen1,0,4,driverlog/pfile15,gc_sub2,10.5303,True,10.7229,False,True,12,0,46,0.468991,12,,22,2,203112,20,20,10,0,10,410,5.41667,0,31,2,12,0,0,3,0,0,0.470557,0,7
screen1,0,4,driverlog/pfile15,gc_support,22.4116,True,22.6014,False,True,9,0,43,0.479976,9,,20,2,203100,20,20,10,0,10,412,5.55556,0,31,2,10,0,0,0,0,0,0.481502,0,7
screen1,0,4,driverlog/pfile15,tsort_goal,13.4551,True,13.6287,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,3,driverlog/pfile3,gc,0.00851989,True,0.0150284,False,True,3,0,12,0.000113131,3,,8,2,95,9,9,6,0,3,22,6,0,9,2,5,0,0,0,0,0,0.000292518,0,3
screen1,0,2,driverlog/pfile3,gc_d2,0.00626634,True,0.0124771,False,True,3,0,15,0.000268172,3,,8,1,358,9,9,6,0,4,22,9.66667,0,12,1,5,0,0,0,0,0,0.000476749,0,3
screen1,0,2,driverlog/pfile3,gc_d2_p2_layer,0.00779594,True,0.0131296,False,True,6,0,38,0.00208921,6,,8,1,3102,9,9,6,0,4,22,10.5,3,32,1,5,0,0,0,0,0,0.00244743,0,8
screen1,0,2,driverlog/pfile3,gc_d3,0.0051422,True,0.00865597,False,True,3,0,15,0.000215426,3,,8,1,316,9,9,6,0,4,22,11.6667,0,12,1,5,0,0,0,0,0,0.000398017,0,3
screen1,0,2,driverlog/pfile3,gc_d3_p2_layer,0.00700735,True,0.010585,False,True,8,0,48,0.00160746,8,,8,1,2877,9,9,6,0,4,22,11.125,5,40,1,5,0,0,0,0,0,0.00198707,0,10
screen1,0,2,driverlog/pfile3,gc_layer,0.00532545,True,0.0102695,False,True,3,0,12,9.7758e-05,3,,8,2,95,9,9,6,0,3,22,6,0,9,2,5,0,0,0,0,0,0.000290542,0,3
screen1,0,3,driverlog/pfile3,gc_pairs2,0.00813237,True,0.0127232,False,True,6,0,32,0.000472157,6,,12,2,625,9,9,6,0,6,18,5.66667,3,26,2,5,0,0,0,0,0,0.000815912,0,8
screen1,0,3,driverlog/pfile3,gc_sub2,0.00800045,True,0.0113638,False,True,5,0,14,0.000103332,5,,10,2,101,9,9,6,0,3,20,4.8,0,9,2,7,0,0,2,0,0,0.000271744,0,3
screen1,0,3,driverlog/pfile3,gc_support,0.00870199,True,0.0141686,False,True,3,0,12,0.000113812,3,,8,2,95,9,9,6,0,3,22,6,0,9,2,5,0,0,0,0,0,0.00030513,0,3
screen1,0,3,driverlog/pfile3,tsort_goal,0.00720628,True,0.0128134,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,1,elevators-opt08-strips/p14,gc,0.00805906,True,0.0219831,False,True,4,0,14,0.000326099,4,,14,0,396,8,8,4,0,1,18,5,0,10,0,14,0,0,0,0,0,0.00037483,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_d2,0.055109,True,0.0711554,False,True,4,0,56,0.0500328,4,,14,0,38420,8,8,4,0,1,18,8,0,52,0,14,0,0,0,0,0,0.0501687,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_d2_p2_layer,0.111379,True,0.127723,False,True,9,0,126,0.106472,9,,14,0,86445,8,8,4,0,1,18,8,5,117,0,14,0,0,0,0,0,0.106647,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_d3,0.0565209,True,0.0724823,False,True,4,0,56,0.0512795,4,,14,0,38420,8,8,4,0,1,18,8,0,52,0,14,0,0,0,0,0,0.0514146,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_d3_p2_layer,0.114421,True,0.131488,False,True,9,0,126,0.109465,9,,14,0,86445,8,8,4,0,1,18,8,5,117,0,14,0,0,0,0,0,0.109633,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_layer,0.00576741,True,0.022314,False,True,4,0,14,0.000366444,4,,14,0,396,8,8,4,0,1,18,5,0,10,0,14,0,0,0,0,0,0.000468254,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_pairs2,0.0167737,True,0.033635,False,True,9,0,50,0.0112741,9,,14,0,13805,8,8,4,0,1,18,5.55556,5,41,0,14,0,0,0,0,0,0.0114145,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_sub2,0.0056973,True,0.0225564,False,True,4,0,14,0.000372106,4,,14,0,396,8,8,4,0,1,18,5,0,10,0,14,0,0,0,0,0,0.000440585,0,0
screen1,0,1,elevators-opt08-strips/p14,gc_support,0.00630483,True,0.0239221,False,True,4,0,14,0.000367074,4,,14,0,396,8,8,4,0,1,18,5,0,10,0,14,0,0,0,0,0,0.000455396,0,0
screen1,0,3,elevators-opt08-strips/p14,tsort_goal,0.00989218,True,0.0274498,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen1,0,1,elevators-sat08-strips/p09,gc,0.0119646,True,0.10062,False,True,12,0,28,0.00161182,12,,28,0,637,16,16,12,0,1,68,5,0,16,0,28,0,0,0,0,0,0.0019177,0,0
